Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
2015-08-25,37.447242736816406,39.601884764789276,37.447242736816406,39.564348006032894,27809200
2015-08-26,39.24903869628906,39.32411508869907,37.72502372876013,38.59588983361545,30721900
2015-08-27,40.11988830566406,40.25502289256932,39.3015745800135,39.93220169761458,26467300
2015-08-28,39.999794006347656,40.21000508625783,39.65445111889315,39.85715312601788,17205400
2015-08-31,40.149932861328125,40.28506749539106,39.57936663385122,39.88717266391206,20629000
2015-09-01,38.24303436279297,39.33912667822262,37.75505074530966,39.33912667822262,28621600
2015-09-02,38.85114288330078,39.061351049129044,38.280576634393434,38.896188717637465,17515800
2015-09-03,38.881168365478516,39.5718538852768,38.731018467822466,39.00879391696994,15708700
2015-09-04,37.980281829833984,38.513311385988594,37.62742990714512,38.38568580093968,19054500
2015-09-08,38.77607345581055,38.94874487654787,38.30310216882548,38.588386755373655,17160200
2015-09-09,38.197994232177734,39.50429193204003,38.085381077695494,39.33912959970329,16930900
2015-09-10,38.34063720703125,38.66345854633367,37.755055644516,37.957757615510886,17467000
2015-09-11,38.3631591796875,38.40069880965493,38.01031014174136,38.295591855166464,12001800
2015-09-14,38.273075103759766,38.42322505059233,38.04785161544693,38.348151509112064,11427000
2015-09-15,39.03883361816406,39.256550877594584,38.33313265682955,38.42322147098737,17858900
2015-09-16,39.48177719116211,39.57186601181442,38.88118028036005,39.234029354528275,17369500
2015-09-17,38.77607345581055,39.789580492621056,38.57337147567409,39.496789698158985,24075200
2015-09-18,37.75505065917969,38.167960754222456,37.619916029693506,38.062856678815706,33404600
2015-09-21,38.070369720458984,38.36316051562221,37.8076094847668,38.15295232706846,14936600
2015-09-22,37.82261276245117,37.875164792913544,37.43222420482289,37.49979151025607,19610600
2015-09-23,37.6274299621582,38.025327725731174,37.4998043769227,37.83764102000471,13680200
2015-09-24,36.88418960571289,37.34965180114969,36.59890503127733,37.28208447730631,32241000
2015-09-25,37.95024490356445,38.077873331075835,37.43973692126166,37.66496035724904,22341800
2015-09-28,36.809104919433594,38.06285323193648,36.74904668058472,38.01030119899209,21919800
2015-09-29,36.78659439086914,37.12443103458006,36.38869949042731,36.82413115930994,16485000
2015-09-30,37.24455261230469,37.41722404843121,36.71152302288734,37.394702558810536,17629000
2015-10-01,37.454750061035156,37.53733265108694,36.95175117816877,37.10189821767615,16291000
2015-10-02,37.447242736816406,37.447242736816406,35.81812105917513,36.4187177908906,27320900
2015-10-05,38.408206939697266,38.54334159550297,37.79259478052541,37.83764062041792,14881200
2015-10-06,38.3331184387207,38.66344587735905,38.16044708235038,38.3256093697342,12602100
2015-10-07,38.52832794189453,38.926222854189575,38.20550656871752,38.64844732280654,16572000
2015-10-08,38.77607345581055,38.91871431714875,38.10040018868903,38.35565421583807,16903000
2015-10-09,38.57337951660156,39.053857111659894,38.23554281261606,38.90370714723608,14341200
2015-10-12,38.498287200927734,38.655946173582294,38.197990259988615,38.558348307438266,11187000
2015-10-13,38.44575500488281,38.82112852267438,38.16047319334954,38.175485613853255,13337900
